area_id,area_name
LRCEPI,Pioneer/Central Ave
POBA,Power Rd & Baseline Rd
GUPO,Power Rd & Guadalupe Rd
POMD,Power Rd & McDowell Rd
POMC,Power Rd & McKellips Rd
UNPO,Power Rd & University Dr
POPR,Power Rd PNR
BAPR,Price Rd & Baseline Rd
BDPR,Price Rd & Broadway Rd
PRSO,Price Rd & Southern Ave
LRAPPR,Price-101/Apache Blvd
PRBA,Priest Dr & Baseline Rd
PRCA,Priest Dr & Carmen St
PREL,Priest Dr & Elliot Rd
PSSO,Priest Dr & Southern Ave
PRUN,Priest Dr & University Dr
PRWA,Priest Dr & Washington St
LRPRWA,Priest Dr/Washington St
RANS,Raintree Dr & Northsight Blvd
LRCERE,Roeser/Central Ave
RO7S,Roosevelt St & 7th St
ROGR,Roosevelt St & Grand Ave
LRCERO,Roosevelt/Central Ave
RUAP,Rural Rd & Apache Blvd
RUBA,Rural Rd & Baseline Rd
BDRU,Rural Rd & Broadway Rd
RUCH,Rural Rd & Chandler Blvd
ELRU,Rural Rd & Elliot Rd
RUGU,Rural Rd & Guadalupe Rd
RURA,Rural Rd & Ray Rd
RURI,Rural Rd & Rio Salado Pkwy
RUSO,Rural Rd & Southern Ave
TPLI,Rural Rd & Tempe Library PNR
TERU,Rural Rd & Terrace Rd
RUTY,Rural Rd & Tyler St
RUUN,Rural Rd & University Dr
SCRUAP,Rural/Apache
SCAP,Scottsdale Airpark
SCCC,Scottsdale CC
SCCC1,Scottsdale CC PNR
SCPR,Scottsdale PNR
5ASC,Scottsdale Rd & 5th Ave
SCCA,Scottsdale Rd & Camelback Rd
SCCO,Scottsdale Rd & Continental Dr
SCFL,Scottsdale Rd & FLWright Blvd
GRSC,Scottsdale Rd & Greenway Pkwy
SCIN,Scottsdale Rd & Indian School Rd
SCLI,Scottsdale Rd & Lincoln Dr
SCMY,Scottsdale Rd & Mayo Blvd
SCMC,Scottsdale Rd & McDowell Rd
SCMK,Scottsdale Rd & McKellips Rd
SCSH,Scottsdale Rd & Shea Blvd
SCTH,Scottsdale Rd & Thomas Rd
SCTB,Scottsdale Rd & Thunderbird Rd
SHVL,Shea Blvd & Via Linda
ELSH,Shutterfly Way & Elliot Rd
SLHS,Sierra Linda High School
SKT3,Sky Harbor Terminal 3
SKT4,Sky Harbor Terminal 4
SKYRCC,Sky Train Rental Car Center Station
APSM,Smith-Martin/Apache Blvd
SMCC,South Mountain CC
SOCW,Southern Ave & Country Club Way
