area_id,stop_id
MAAL,6773
MADO,1464
MAGI,2893
MAGI,5095
MAGI,8741
MAGI,8742
MAGR,8746
MAGR,8748
MAHI,8749
MAHI,8750
MALI,8743
MALI,8744
MAPO,8754
MAPO,8753
MAPO,3031
MAPO,5217
MARE,8751
MARE,8752
MAST,467
MAST,8740
MAST,3105
MAST,5303
SYMA1,1472
SYMA1,8829
MAVA,8745
MAVA,8747
MAMR,10133
MMCT,5854
MMCT,598
MRHG,9766
DRMR,7785
APMA,5153
MAUN,3414
MAUN,7607
MCAL,40220
MCAL,3415
MCAL,5155
MCAP,3417
MCAP,5156
MCBA,5157
BAMC,5381
BAMC,72
BAMC,8047
BAMC,3418
MCBD,171
MCBD,5466
MCCA,5160
MCCH,1209
MCCH,8721
GAMC,385
GAMC,5670
GAMC,3424
GAMC,5165
MCSO,3430
MCSO,5170
MCSO,5948
MCSO,707
MCUN,3431
MCUN,6093
MCUN,857
MCWA,8633
MCWA,8985
MCWA,946
LRMCAP,9014
LRMCAP,9041
MCHI,9363
MCHI,9362
MCHI,3435
LRCEMD,9015
LRCEMD,9042
SECE,993
MEBD,172
MEBD,5469
MEBD,5179
MEBD,3441
MAME,5727
MAME,7684
MAME,2982
MAME,5182
MESO,3445
MESO,5185
MESO,708
MEUN,2983
MEUN,4682
LRMAME,9502
LRMAME,9508
RVMP,8994
RVMP1,8936
LRMECE,9773
LRMECE,9774
ML6TH,9742
MIBA,6286
MIBA,73
MIBA,3452
MIBA,5203
MIBD,6372
MIBD,5188
MIBD,3453
MIBD,5211
MIUN,3462
MIUN,5210
MIUN,7112
MIUN,859
MI3S,9016
MI3S,9043
MICA,4691
MICA,2996
MICA,4707
MICA,4705
MICU,2999
MIIN,5703
MIIN,3002
MIIN,30315
MIMC,5770
MITH,4702
MITH,3012
MITH,4706
MITH,6002
MITH,773
LR19MB,9017
LR19MB,9044
19MB,348
19MB,8759
25MV,9775
25MV,9776
MUTC,2695
MUTC,4404
44WI1N,2389
ML9TH,9551
ML9TH,9772
NTMC,30558
NTMC,30559
NO19,6657
NO19,6658
CEOS,9018
CEOS,9045
PCC,9616
PVMP,1478
PVMP,6824
PVCC,536
PVTC,501
PASAP,8954
PASAP,9666
ESMC,9473
ESMC,9474
PARK,7949
GWAP,9503
GWAP,8894
PHZO,3567
PITH,8991
PICH,308
PIIB,9748
PIIB,9749
PIMC,9568
PIMC,9569
PP23,20004
PP23,8368
LRCEPI,9786
LRCEPI,9787
POBA,9212
GUPO,9654
GUPO,3478
GUPO,8893
POMD,8634
POMC,4723
UNPO,3032
UNPO,4724
UNPO,6074
UNPO,9488
POPR,9090
BAPR,5373
BAPR,81
BAPR,3483
BDPR,5470
BDPR,193
BDPR,3485
PRSO,714
PRSO,5939
PRSO,5950
PRSO,731
LRAPPR,9019
LRAPPR,9046
PRBA,1020
PRBA,6288
PRBA,3503
PRBA,5237
PRCA,3490
PRCA,4946
PREL,1280
PREL,6568
PREL,3505
PREL,9449
PSSO,3509
PSSO,5248
PRUN,3510
PRUN,5250
PRUN,1795
PRUN,7113
PRWA,3033
PRWA,4729
PRWA,7172
LRPRWA,9020
LRPRWA,9047
RANS,8359
RANS,8044
LRCERE,9784
LRCERE,9785
RO7S,5862
RO7S,611
ROGR,3670
LRCERO,9021
LRCERO,9048
RUAP,3525
RUAP,5263
RUBA,5375
RUBA,77
RUBA,3526
RUBA,5264
BDRU,180
BDRU,5474
RUCH,1215
RUCH,6509
RUCH,3036
ELRU,340
ELRU,5629
ELRU,3533
ELRU,5273
RUGU,387
RUGU,5672
RUGU,3535
RURA,30096
RURA,30097
RURA,3040
RURA,4732
RURI,9738
RUSO,3541
RUSO,5284
RUSO,5955
RUSO,716
TPLI,5278
TERU,3545
RUTY,5288
RUUN,3546
RUUN,6097
RUUN,863
SCRUAP,9099
SCRUAP,9721
SCAP,9173
SCCC,3044
SCCC1,9429
SCPR,9578
5ASC,3045
SCCA,281
SCCA,7599
SCCA,3051
SCCA,4747
SCCO,9627
SCCO,9643
SCCO,4752
SCFL,5641
SCFL,357
SCFL,4744
SCFL,3060
GRSC,8219
GRSC,8282
SCIN,432
SCIN,7594
SCIN,3066
SCIN,9659
SCLI,3069
SCLI,4766
SCMY,8403
SCMY,8434
SCMY,9417
SCMC,514
SCMC,5771
SCMC,3074
SCMC,4769
SCMC,3087
SCMK,532
SCMK,3075
SCMK,4770
SCSH,3082
SCSH,4777
SCSH,5902
SCSH,655
SCTH,3084
SCTH,4779
SCTH,6003
SCTH,774
SCTB,3085
SCTB,4780
SHVL,3147
SHVL,4838
ELSH,345
ELSH,5628
ELSH,323
ELSH,5621
SLHS,9208
SLHS,9209
SKT3,SKTR3
SKT4,SKTR4
SKYRCC,SKTR6
APSM,9022
APSM,9049
SMCC,8834
SOCW,40217
SOEV,40216
SOEV,5938
SOMI,3461
SOMI,5209
LRCESO,9782
LRCESO,9783
SOLK,3436
SOLK,5171
SJMN,5675
STBA,9467
STBD,3556
STBD,5299
STBR,3101
STBR,4795
STMC,533
STSO,3560
STSO,5304
STUN,3107
STUN,4799
LRMAST,8328
LRMAST,8329
SUVI,3352
SUCE,10142
SUCE,10272
SUCE,20
SUCE,3
SUCE,4
SUCE,6243
SUCE,9
SUCE,983
SSPR,9572
SPMA,30459
SPMA,30460
SPMA,30461
SPMA,30462
SPMA,8833
SUPR,8859
MALO,9023
MALO,9050
SYMA,30452
SYMA,30455
SYMA,30456
SYMA,30457
SYMA,8758
45MY,26
BETA,115
BETA,5412
BETA,3114
BETA,4809
GRTA,8250
GRTA,8301
TAMO,4821
TAMO,3134
TBPRS,9767
TCFA,9565
TCFA,9566
TEMP,30577
TEMP,9564
TELI,9733
TMPE1,8915
TMPE1,8911
